Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-07-01,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,5,Friday
2016-07-02,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,6,Saturday
2016-07-03,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,7,Sunday
2016-07-04,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,1,Monday
2016-07-05,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,2,Tuesday
2016-07-06,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,3,Wednesday
2016-07-07,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,4,Thursday
2016-07-08,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,5,Friday
2016-07-09,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,6,Saturday
2016-07-10,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,7,Sunday
2016-07-11,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,1,Monday
2016-07-12,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,2,Tuesday
2016-07-13,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,3,Wednesday
2016-07-14,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,4,Thursday
2016-07-15,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,5,Friday
2016-07-16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,6,Saturday
2016-07-17,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,7,Sunday
2016-07-18,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,1,Monday
2016-07-19,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,2,Tuesday
2016-07-20,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,3,Wednesday
2016-07-21,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,4,Thursday
2016-07-22,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,5,Friday
2016-07-23,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,6,Saturday
2016-07-24,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,7,Sunday
2016-07-25,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,1,Monday
2016-07-26,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,2,Tuesday
2016-07-27,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,3,Wednesday
2016-07-28,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,4,Thursday
2016-07-29,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,5,Friday
2016-07-30,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,6,Saturday
2016-07-31,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,7,Sunday
2016-08-01,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,1,Monday
2016-08-02,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,2,Tuesday
